Entity,Year,Poverty_Index,gdp_growth,gdp_per_capita
Albania,2010,0.02349041434565685,3.70693815,4094.348386
Albania,2011,0.025418308855622605,2.545406145,4437.142612
Albania,2012,0.024330051602448475,1.4172428,4247.630047
Albania,2013,0.025262291609680902,1.00201754,4413.062005
Albania,2014,0.02621036684606791,1.774448855,4578.633208
Albania,2015,0.02266942238414732,2.218726372,3952.802538
Albania,2016,0.023653797873277416,3.314980684,4124.05539
Albania,2017,0.02596622940075344,3.8022274,4531.019374
Albania,2018,0.030256872069633352,4.019359686,5287.663694
Albania,2019,0.030844736961220854,2.113419982,5395.659532
Albania,2020,0.02992139079374386,-3.955397927,5246.292306
Armenia,2010,0.018507214132785547,2.2,3218.378299
Armenia,2011,0.020281080922498616,4.699999999,3525.807198
Armenia,2012,0.02119701491304441,7.200000001,3681.844691
Armenia,2013,0.022033521910074735,3.3,3838.17388
Armenia,2014,0.02287636352377354,3.600000001,3986.231624
Armenia,2015,0.020723835619614557,3.199999999,3607.289299
Armenia,2016,0.020598210703434452,0.2,3591.828052
Armenia,2017,0.02251942749133674,7.500000002,3914.527854
Armenia,2018,0.024224457359688572,5.2,4220.540321
Armenia,2019,0.026431585258097395,7.599999999,4604.646324
Armenia,2020,0.0243225527858296,-7.4,4266.018074
Austria,2010,0.2658079353651586,1.837093677,46858.04327
Austria,2011,0.29141897939529743,2.922797284,51374.95841
Austria,2012,0.27548185411352544,0.680445577,48567.69529
Austria,2013,0.28765198325071434,0.025504712,50716.70871
Austria,2014,0.2933314836786266,0.661272849,51717.49594
Austria,2015,0.2506100181298332,1.014501586,44178.04738
Austria,2016,0.25684916193455354,1.989437162,45276.83144
Austria,2017,0.26838587617788023,2.258572433,47312.00623
Austria,2018,0.29190369472368766,2.501595119,51461.43322
Austria,2019,0.2842572838980047,1.49121085,50114.40111
Austria,2020,0.2754961893902592,-6.734514076,48586.80132
Azerbaijan,2010,0.03342002289747139,5.048944567,5843.533768
Azerbaijan,2011,0.04098597982516457,0.1,7189.691229
Azerbaijan,2012,0.0427496607572355,2.16523943,7496.294648
Azerbaijan,2013,0.044946239934178504,5.809800945,7875.756953
Azerbaijan,2014,0.04499563920512442,2.75050703,7891.313147
Azerbaijan,2015,0.03142487665152118,1.093975846,5500.310382
Azerbaijan,2016,0.022193656244143094,-3.1,3880.738731
Azerbaijan,2017,0.023744870122707578,0.2,4147.089716
Azerbaijan,2018,0.027120456054020563,1.5,4739.84171
Azerbaijan,2019,0.027506647157336746,2.5,4805.753718
Azerbaijan,2020,0.024109018355293634,-4.3,4221.407478
Belarus,2010,0.03453244455285573,7.798266823,6033.686239
Belarus,2011,0.037298378655120125,5.37870745,6527.173869
Belarus,2012,0.03966551221546132,1.687135536,6953.132515
Belarus,2013,0.04557880893576039,1.003470841,7998.125239
Belarus,2014,0.0475332983955795,1.726384854,8341.399679
